"Story","Title","Result","Date","Stability","Duration (s)"
"Categories curd info","This will creat categories","SUCCESS","2022-06-07T12:28:52.356+01:00[Europe/London]","0.0","3.66"
"Categories curd info","This will fatch single category","SUCCESS","2022-06-07T12:28:56.043+01:00[Europe/London]","0.0","0.07"
"Categories curd info","This will update category","SUCCESS","2022-06-07T12:28:56.117+01:00[Europe/London]","0.0","0.19"
"Categories curd info","This will delete category","SUCCESS","2022-06-07T12:28:56.315+01:00[Europe/London]","0.0","0.25"
